IDViaje,Numero_tracker,Region,Comunidad,Dia,Mes,Anio,hora,Zona_pesca,Panga,Motor,Gasolina_lt,Tiempos,Responsable,Observaciones,Recurso_pesquero,Nombre_cientifico,Arte_pesca,Presentacion,Captura_kg,Precio_pesos,Carnada_tipo,Carnada_pesos,Fauna_de_Acompanamiento_Especie,Fauna_de_Acompanamiento_kg
export_2021-11-23 05-12,BLV06,Bahia La Ventana,El Sargento,23,11,2021,1899-12-31T05:12:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,pargo perro,Lutjanus novemfasciatus,piola y anzuelo,desviscerado,47,55,macarela,NA,NA,NA
export_2022-03-26 05-04,BLV06,Bahia La Ventana,El Sargento,26,3,2022,1899-12-31T05:04:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,pargo perro,Lutjanus novemfasciatus,piola y anzuelo,desviscerado,57,55,macarela,NA,NA,NA
export_2022-03-28 05-01,BLV06,Bahia La Ventana,El Sargento,28,3,2022,1899-12-31T05:01:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,pargo perro,Lutjanus novemfasciatus,piola y anzuelo,desviscerado,25,55,macarela,NA,NA,NA
export_2022-04-02 05-13,BLV06,Bahia La Ventana,El Sargento,2,4,2022,1899-12-31T05:13:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,pargo perro,Lutjanus novemfasciatus,piola y anzuelo,desviscerado,70,55,macarela,NA,NA,NA
export_2022-04-07 06-01,BLV06,Bahia La Ventana,El Sargento,7,4,2022,1899-12-31T06:01:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,pargo perro,Lutjanus novemfasciatus,piola y anzuelo,desviscerado,63,55,macarela,NA,NA,NA
export_2022-04-08 05-15,BLV06,Bahia La Ventana,El Sargento,8,4,2022,1899-12-31T05:15:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,18,30,macarela,NA,NA,NA
export_2022-04-09 05-26,BLV06,Bahia La Ventana,El Sargento,9,4,2022,1899-12-31T05:26:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,47,30,macarela,NA,NA,NA
export_2022-04-10 05-47,BLV06,Bahia La Ventana,El Sargento,10,4,2022,1899-12-31T05:47:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,41,30,macarela,NA,NA,NA
export_2022-04-11 05-49,BLV06,Bahia La Ventana,El Sargento,11,4,2022,1899-12-31T05:49:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,28,30,macarela,NA,NA,NA
export_2022-04-12 06-02,BLV06,Bahia La Ventana,El Sargento,12,4,2022,1899-12-31T06:02:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,44,30,macarela,NA,NA,NA
export_2022-04-19 05-31,BLV06,Bahia La Ventana,El Sargento,19,4,2022,1899-12-31T05:31:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,49,30,macarela,NA,NA,NA
export_2022-06-03 05-41,BLV06,Bahia La Ventana,El Sargento,3,6,2022,1899-12-31T05:41:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,39,30,macarela,NA,NA,NA
export_2022-06-04 04-59,BLV06,Bahia La Ventana,El Sargento,4,6,2022,1899-12-31T04:59:00Z,bahia la ventana - cerralvo,ivan,90,30,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,63,30,macarela,NA,NA,NA
export_2022-03-10 07-21,ILP01,bahia la paz,isla la partida,10,3,2022,1899-12-31T07:21:00Z,NA,jarocho,90,NA,4,NA,NA,cabrilla sardinera,Mycteroperca rosacea,piola y anzuelo,desviscerado,19,95,sardina,NA,NA,NA
export_2022-03-10 07-21,ILP01,bahia la paz,isla la partida,10,3,2022,1899-12-31T07:21:00Z,NA,jarocho,90,NA,4,NA,NA,clavellino,Lutjanus argentiventris,piola y anzuelo,desviscerado,11,80,sardina,NA,NA,NA
export_2022-03-11 06-50,ILP01,bahia la paz,isla la partida,11,3,2022,1899-12-31T06:50:00Z,NA,jarocho,90,NA,4,NA,NA,sapo,NA,piola y anzuelo,desviscerado,617,NA,NA,NA,NA,NA
export_2022-03-15 06-21,ILP01,bahia la paz,isla la partida,15,3,2022,1899-12-31T06:21:00Z,NA,jarocho,90,NA,4,NA,NA,sapo,NA,piola y anzuelo,desviscerado,133,NA,NA,NA,NA,NA
export_2022-03-16 06-22,ILP01,bahia la paz,isla la partida,16,3,2022,1899-12-31T06:22:00Z,NA,jarocho,90,NA,4,NA,NA,jurel,Seriola lalandi,piola y anzuelo,desviscerado,78,50,sardina,NA,NA,NA
export_2022-03-16 06-22,ILP01,bahia la paz,isla la partida,16,3,2022,1899-12-31T06:22:00Z,NA,jarocho,90,NA,4,NA,NA,cabrilla sardinera,Mycteroperca rosacea,piola y anzuelo,desviscerado,24,95,sardina,NA,NA,NA
export_2022-03-16 06-22,ILP01,bahia la paz,isla la partida,16,3,2022,1899-12-31T06:22:00Z,NA,jarocho,90,NA,4,NA,NA,sapo,NA,piola y anzuelo,desviscerado,270,NA,NA,NA,NA,NA
export_2022-03-17 06-58,ILP01,bahia la paz,isla la partida,17,3,2022,1899-12-31T06:58:00Z,NA,jarocho,90,NA,4,NA,NA,sapo,NA,piola y anzuelo,desviscerado,579,NA,NA,NA,NA,NA
export_2022-03-17 06-58,ILP01,bahia la paz,isla la partida,17,3,2022,1899-12-31T06:58:00Z,NA,jarocho,90,NA,4,NA,NA,cazon,Mustelus sp.,piola y anzuelo,troncho,69,18,sardina,NA,NA,NA
export_2022-03-19 06-02,ILP01,bahia la paz,isla la partida,19,3,2022,1899-12-31T06:02:00Z,NA,jarocho,90,NA,4,NA,NA,cabrilla sardinera,Mycteroperca rosacea,piola y anzuelo,desviscerado,9,95,sardina,NA,NA,NA
